id,message
open,"装備と作戦を確認しよう。次のダンジョンに向けて、準備は万全にしておきたいからな。"
weapon_changed,"武器を変えた。装備の属性が敵との相性を左右するぞ。"
armor_changed,"防具を変えた。防御力が上がれば、それだけ安定して戦える。"
tactics_changed,"作戦を変更した。同じ装備でも、立ち回り次第で結果は変わるものだ。"
hover_weapon,"今装備している武器だ。攻撃力と属性が戦果を直接左右する。ダンジョンの弱点属性に合った武器があれば迷わずそれを選べ。相性次第で、同じ敵でも倒しやすさが全然変わるぞ。"
hover_armor,"今装備している防具だ。防御力が高いほど被ダメージが減り、安定して戦い続けられる。長丁場のダンジョンほどここの差が出る。ちゃんとした防具を揃えておくのが俺の基本方針だ。"
hover_tactics_balanced,"標準的な作戦だ。武器・防具・属性・話題性をすべて均等に扱う。特定の弱点はないが突出した強みもない。まず動き方に迷ったら、これを選んでおけば間違いはないぞ。"
hover_tactics_aggressive,"攻撃重視の作戦だ。武器の評価変動が強化される。敵を倒した時の手応えが売上に直結するので、攻撃力の高い武器を持っている時ほど真価を発揮するぞ。攻めで押し切りたい時はこれだ。"
hover_tactics_defensive,"防御重視の作戦だ。防具の評価変動が強化される。被ダメージを抑えながら粘り強く戦い続けるための作戦だ。防御に自信がある時や、難度の高いダンジョンで安定させたい時に選べ。"
hover_tactics_stealth,"慎重な作戦だ。話題化を意図的に抑えることで安定した結果を狙う。大きなリターンは期待できないが、リスクも最小限だ。荒れた状況を落ち着かせたい時に有効だぞ。"
hover_tactics_magic,"属性重視の作戦だ。属性相性の影響が全体的に強化される。ダンジョンの弱点に合った装備を持っているなら、この作戦で最大限に活かせるぞ。属性が刺さる時の爆発力は他の作戦とは段違いだ。"
hover_clear_probability,"このダンジョンをクリアできる確率だ。俺の装備の強さとダンジョンの難易度を元に算出している。事前に情報を購入しておくと正確な数値が表示されるぞ。低いなら装備を見直す合図だ。"
character_talk_1,"どんな強敵でも、準備で勝敗は変えられる。装備と作戦を詰めれば、突破口は必ず見える。"
character_talk_2,"焦りは禁物だ。武器、防具、作戦――一つずつ整えれば、結果は自然とついてくる。"
character_talk_3,"仲間の期待に応えるためにも、ここで妥協はしない。次の戦いは、必ず勝って帰る。"
