id,message
default,今のトレンドね。タロットの導きが示した確実な情報だ。さあ、これでどう稼いでみせるんだい？
trend_1,今最もトレンドに乗っている武器だ。需要の波に乗るなら今だよ。タロットが強くそう告げている。
trend_2,トレンド2位の武器だね。まだ波に乗れる。タイミングを逃さないようにするといい。
trend_3,トレンド3位か。波は来ているが、ピークはもう少し先かもしれないね。
ranking_1,価格ランキング1位だよ。今一番高値がつく武器だ。タロットが最高の稼ぎ時と告げている。今すぐ仕入れるべきだね。
ranking_2,価格ランキング2位だ。なかなかいい値がつく武器だよ。うまく立ち回れば十分な稼ぎになる。
ranking_3,価格ランキング3位か。まずまずの値段だね。他の選択肢と天秤にかけてみるといい。
recommended_1,ダンジョンへの適性が最も高い武器だ。今の勇者たちが真っ先に求めている。仕入れない理由はないよ。
recommended_2,ダンジョンへの相性がいい武器だ。需要も悪くない。仕入れておいて損はしないだろう。
recommended_3,ダンジョンへの適性もある武器だね。念のため準備しておくといい選択肢だよ。
character_talk_1,カードは嘘をつかない。迷った時ほど、手元の情報を信じて一手ずつ進めるんだよ。
character_talk_2,今日の運命線は強いね。攻めるなら今夜、守るなら次のターン――流れを読むんだ。
character_talk_3,未来は一つじゃない。けれど準備した者だけが、望む未来を選び取れるのさ。
